更新日,代號,名稱,市場,今收,漲停,跌停,threshold3,threshold4,條件3,條件4,條件6門檻(TP)
2026/08/30,7777,能率亞洲,上櫃,40.15,44.15,36.15,37.62,38.86,盤中決定,盤中決定,40.5055
2026/08/30,2467,志聖,上市,610,671,549,402.67,489.45,必成立,必成立,590.9136
2026/08/30,6241,鑫永洋,上櫃,17.95,19.7,16.2,6.87,3.3,必成立,必成立,17.2135
2026/08/30,3339,泰谷光電,上櫃,43,47.3,38.7,25.4,32.47,必成立,必成立,42.8063
2026/08/30,4956,光鋐,上市,36.95,40.6,33.3,10.98,24.77,必成立,必成立,37.9936
2026/08/30,6187,萬潤,上櫃,1365,1500,1230,608.33,55.27,必成立,必成立,1387.3789
2026/08/30,1515,力山,上市,34.7,38.15,31.25,19.7,22.5,必成立,必成立,36.1686
2026/08/30,7712,博盛半導體,上櫃,160,176,144,96.67,171.86,必成立,盤中決定,159.757
2026/08/30,8996,高力,上市,1265,1390,1140,686.67,1022.45,必成立,必成立,1271.0158
2026/08/30,4927,泰鼎-KY,上市,43,47.3,38.7,10.53,44.64,必成立,盤中決定,40.638
2026/08/30,6456,GIS-KY,上市,74.3,81.7,66.9,44.8,54.84,必成立,必成立,72.9129
2026/08/30,7704,明遠精密,上櫃,62.6,68.8,56.4,66.77,48.07,盤中決定,必成立,62.9405
2026/08/30,3491,昇達科技,上櫃,1510,1660,1360,866.67,1166.55,必成立,必成立,1436.2195
2026/08/30,3711,日月光投控,上市,621,683,559,608,671.18,盤中決定,盤中決定,602.4878
2026/08/30,3006,晶豪科,上市,269.5,296,243,211.17,50.27,必成立,必成立,277.2101
2026/08/30,2059,川湖,上市,14300,15730,12870,4268.33,-13334.09,必成立,必成立,15076.6077
2026/08/30,4569,六方科-KY,上市,165.5,182,149,147.5,162.41,必成立,盤中決定,167.4605
2026/08/30,4551,智伸科,上市,162,178,146,177.67,166.14,盤中決定,盤中決定,157.307
2026/08/30,6584,南俊國際,上櫃,682,750,614,291.83,487.95,必成立,必成立,654.8855
2026/08/30,3363,上詮,上櫃,701,771,631,316,386.36,必成立,必成立,682.9823
2026/08/30,4931,新盛力,上櫃,272.5,299.5,245.5,200.17,140.18,必成立,必成立,271.5954
2026/08/30,6446,藥華藥,上市,1545,1695,1395,725,-57.73,必成立,必成立,1592.0587
2026/08/30,3645,達邁,上市,104,114,93.6,61.37,-25.37,必成立,必成立,107.6045
2026/08/30,4555,氣立,上市,47.4,52.1,42.7,49.22,47.97,盤中決定,盤中決定,47.1254
2026/08/30,2476,鉅祥,上市,125.5,138,113,111.17,16.69,必成立,必成立,123.0291
2026/08/30,2413,環科,上市,43.85,48.2,39.5,42.22,48.17,盤中決定,盤中決定,44.3873
2026/08/30,2423,固緯,上市,74.6,82,67.2,74.5,77.22,盤中決定,盤中決定,75.3598
2026/08/30,3680,家登,上櫃,500,550,450,345.5,471.95,必成立,盤中決定,498.1999
2026/08/30,3017,奇鋐,上市,3360,3695,3025,1831.67,-1479.09,必成立,必成立,3287.267
2026/08/30,2887,台新新光金,上市,37.5,41.25,33.75,31.25,8.91,必成立,必成立,37.5493
2026/08/30,2465,麗臺,上市,95,104.5,85.5,72.47,42.03,必成立,必成立,94.5501
2026/08/30,5498,凱崴,上櫃,58.1,63.9,52.3,34.42,57.62,必成立,盤中決定,55.868
2026/08/30,3653,健策,上市,5785,6360,5210,1498.33,-3107.27,必成立,必成立,5928.7973
2026/08/30,6669,緯穎,上市,7200,7920,6480,3923.33,-345.91,必成立,必成立,6958.8348
2026/08/30,2301,光寶科,上市,317.5,349,286,99.17,-86,必成立,必成立,313.7528
2026/08/30,2399,映泰,上市,46.9,51.5,42.25,31.28,28.55,必成立,必成立,48.7332
2026/08/30,3444,利機企業,上櫃,83,91.3,74.7,36.33,66.55,必成立,必成立,89.0548
2026/08/30,3693,營邦,上櫃,587,645,529,334.5,244.14,必成立,必成立,573.6071
2026/08/30,4923,力士,上櫃,56.4,62,50.8,32.93,41.47,必成立,必成立,56.0609
2026/08/30,2455,全新,上市,434,477,391,221.33,60.59,必成立,必成立,440.8837
2026/08/30,2312,金寶,上市,31.8,34.95,28.65,34.85,31.71,盤中決定,盤中決定,31.2907
2026/08/30,4912,聯德控股-KY,上市,99.2,109,89.3,78.2,63.4,必成立,必成立,95.8867
2026/08/30,8473,山林水,上市,45.9,50.4,41.35,35.67,39.44,必成立,必成立,46.0253
2026/08/30,2466,冠西電,上市,104.5,114.5,94.1,59,0.15,必成立,必成立,106.598
2026/08/30,6530,創威,上櫃,86.9,95.5,78.3,60.97,70.41,必成立,必成立,88.8327
2026/08/30,3055,蔚華科,上市,127.5,140,115,63,105.57,必成立,必成立,124.7681
2026/08/30,3008,大立光,上市,7065,7770,6360,-1666.67,-3915.91,必成立,必成立,6985.9249
2026/08/30,6761,穩得,上櫃,188.5,207,170,123.33,146.5,必成立,必成立,193.0744
2026/08/30,1708,東鹼,上市,51,56.1,45.9,45.93,54.55,盤中決定,盤中決定,50.9446
2026/08/30,6902,GOGOLOOK,上市,129.5,142,117,130,139.14,盤中決定,盤中決定,127.5167
2026/08/30,6651,全宇昕,上櫃,150.5,165.5,135.5,80,92.18,必成立,必成立,153.0189
2026/08/30,4946,紅心辣椒,上櫃,93.9,103,84.6,47.77,94.83,必成立,盤中決定,96.8887
2026/08/30,6937,天虹,上市,292.5,321.5,263.5,240,290.77,必成立,盤中決定,279.9945
2026/08/30,6265,方土昶,上櫃,57.1,62.8,51.4,53.57,32.69,盤中決定,必成立,59.7661
2026/08/30,4971,IET-KY,上櫃,568,624,512,283.5,154.41,必成立,必成立,583.6627
2026/08/30,1762,中化生,上市,35.5,39.05,31.95,31.37,37.04,必成立,盤中決定,36.0978
2026/08/30,3631,晟楠,上櫃,44.2,48.6,39.8,16,5.33,必成立,必成立,42.9373
2026/08/30,2484,希華,上市,76.1,83.7,68.5,55.67,55.31,必成立,必成立,77.6665
2026/08/30,2395,研華,上市,669,735,603,593.67,75.77,必成立,必成立,679.7946
2026/08/30,6949,沛爾生醫-創,上市,1490,1635,1345,-308.33,-733.27,必成立,必成立,1393.024
2026/08/30,1717,長興,上市,77.7,85.4,70,55.53,51.42,必成立,必成立,76.3918
2026/08/30,6953,家碩,上櫃,240,264,216,164.83,176.55,必成立,必成立,241.4734
2026/08/30,7795,長廣,上市,564,620,508,279.5,114.77,必成立,必成立,587.9196
2026/08/30,6423,億而得,上櫃,80.9,88.9,72.9,70.4,67.69,必成立,必成立,81.8992
2026/08/30,4561,健椿,上櫃,44.2,48.6,39.8,41.55,25.51,盤中決定,必成立,45.8392
2026/08/30,2376,技嘉,上市,349,383.5,314.5,376.17,321.45,盤中決定,盤中決定,346.0978
2026/08/30,8299,群聯電子,上櫃,2150,2365,1935,1706.67,2010.91,必成立,盤中決定,2174.142
2026/08/30,3287,廣寰科,上櫃,38.4,42.2,34.6,21.67,10.62,必成立,必成立,39.1925
2026/08/30,6969,成信實業*-創,上市,35.15,38.65,31.65,32.55,9.04,盤中決定,必成立,34.6238
2026/08/30,7788,松川精密,上市,327.5,360,295,85.33,67.45,必成立,必成立,302.9715
2026/08/30,2103,台橡,上市,28.2,31,25.4,20.27,4.97,必成立,必成立,28.7899
2026/08/30,2434,統懋,上市,56.4,62,50.8,50.87,51.55,盤中決定,盤中決定,52.3067
2026/08/30,6933,AMAX-KY,上市,260,286,234,14.17,-94.09,必成立,必成立,241.6622
2026/08/30,1530,亞崴,上市,29,31.9,26.1,26.43,30.05,盤中決定,盤中決定,29.3559
2026/08/30,2451,創見,上市,294,323,265,271.83,201.91,盤中決定,必成立,303.0126
2026/08/30,4977,眾達-KY,上市,172,189,155,61.67,99.73,必成立,必成立,174.2706
2026/08/30,2855,統一證,上市,48.55,53.4,43.7,41.3,43.89,必成立,盤中決定,47.6509
2026/08/30,3563,牧德,上市,697,766,628,676.67,721.55,盤中決定,盤中決定,689.9646
2026/08/30,5434,崇越,上市,529,581,476.5,482.33,451,盤中決定,必成立,530.9956
2026/08/30,5292,華懋,上市,220,242,198,75.33,105.82,必成立,必成立,228.0005
2026/08/30,6532,瑞耘,上櫃,89.2,98.1,80.3,59.57,50.15,必成立,必成立,92.4686
2026/08/30,6573,虹揚-KY,上市,18.8,20.65,16.95,12.73,7.09,必成立,必成立,18.1227
2026/08/30,6525,捷敏-KY,上市,144.5,158.5,130.5,143.5,148.27,盤中決定,盤中決定,142.0497
2026/08/30,2890,永豐金,上市,39.8,43.75,35.85,39.6,36.2,盤中決定,盤中決定,39.4094
2026/08/30,1560,中砂,上市,695,764,626,742.33,718.36,盤中決定,盤中決定,689.9978
2026/08/30,6533,晶心科,上市,265.5,292,239,169.67,78.09,必成立,必成立,269.5655
2026/08/30,3044,健鼎,上市,490,539,441,331.67,526.95,必成立,盤中決定,484.7271
2026/08/30,4147,中裕,上櫃,64.1,70.5,57.7,49.07,44.95,必成立,必成立,66.7057
2026/08/30,6598,ABC-KY,上市,28.75,31.6,25.9,30.12,18.24,盤中決定,必成立,28.2273
2026/08/30,6209,今國光,上市,76.7,84.3,69.1,59.23,32.75,必成立,必成立,73.8646
2026/08/30,2357,華碩,上市,965,1060,869,588,-338.82,必成立,必成立,979.4417
2026/08/30,3374,精材,上櫃,386,424.5,347.5,187.33,155.55,必成立,必成立,349.3966
2026/08/30,3548,兆利科技,上櫃,90.9,99.9,81.9,43.27,69.3,必成立,必成立,86.171
