統計日,代號,名稱,最大月漲幅(%),市場
2026/08/30,4543,萬在,20.31,上櫃
2026/08/30,3354,律勝,20.3,上櫃
2026/08/30,8462,柏文,20.28,上市
2026/08/30,1723,中碳,20.22,上市
2026/08/30,3036,文曄,20.22,上市
2026/08/30,5251,天鉞電,20.22,上櫃
2026/08/30,4523,永彰,20.21,上櫃
2026/08/30,4571,鈞興-KY,20.2,上市
2026/08/30,4952,凌通,20.13,上市
2026/08/30,2367,燿華,20.1,上市
2026/08/30,4154,樂威科-KY,20.08,上櫃
2026/08/30,5202,力新國際,20.08,上櫃
2026/08/30,3049,精金,20.02,上市
2026/08/30,4558,寶緯,20,上櫃
