資料日期,ETF,更新時間,持股JSON
2026-05-12 00:00:00,00981A,2026-05-12 16:41:08,"[[""2330"",""台積電"",11657,9.63],[""2383"",""台光電"",4605,8.27],[""2454"",""聯發科"",4463,6.05],[""2345"",""智邦"",6231,5.76],[""2308"",""台達電"",6572,5.29],[""6669"",""緯穎"",2294,4.87],[""3665"",""貿聯-KY"",4704,4.78],[""2368"",""金像電"",8260,4.21],[""6223"",""旺矽"",2084,4.18],[""8046"",""南電"",12658,4.17],[""3017"",""奇鋐"",4468,4.13],[""3037"",""欣興"",10822,3.47],[""3653"",""健策"",2267,3.26],[""5274"",""信驊"",483,3.19],[""3711"",""日月光投控"",14998,3.05],[""2327"",""國巨*"",17221,2.65],[""6274"",""台燿"",4151,2.21],[""2303"",""聯電"",46374,1.78],[""6515"",""穎崴"",442,1.61],[""3443"",""創意"",764,1.56],[""2449"",""京元電子"",12919,1.42],[""6510"",""精測"",930,1.32],[""6805"",""富世達"",1761,1.19],[""8210"",""勤誠"",1967,1.12],[""3264"",""欣銓"",9030,0.76],[""3661"",""世芯-KY"",296,0.58],[""6187"",""萬潤"",1224,0.55],[""2404"",""漢唐"",1394,0.51],[""2357"",""華碩"",1996,0.49],[""5439"",""高技"",3228,0.45],[""8996"",""高力"",1034,0.4],[""2313"",""華通"",4124,0.39],[""8150"",""南茂"",11334,0.36],[""8358"",""金居"",1980,0.35],[""2317"",""鴻海"",3612,0.33],[""1590"",""亞德客-KY"",530,0.3],[""4966"",""譜瑞-KY"",1036,0.29],[""3008"",""大立光"",159,0.16],[""6415"",""矽力*-KY"",940,0.16],[""2481"",""強茂"",3654,0.15],[""6191"",""精成科"",3988,0.14],[""3376"",""新日興"",1741,0.13],[""3036"",""文曄"",1200,0.12],[""3217"",""優群"",874,0.06],[""2002"",""中鋼"",5163,0.03],[""1319"",""東陽"",511,0.01],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""2337"",""旺宏"",8,0],[""6147"",""頎邦"",1,0],[""5347"",""世界"",1,0]]"
2026-05-13 00:00:00,00981A,2026-05-13 17:53:47,"[[""2330"",""台積電"",11657,9.68],[""2383"",""台光電"",4605,8.49],[""2345"",""智邦"",6231,5.68],[""2454"",""聯發科"",4263,5.57],[""2308"",""台達電"",6572,5.32],[""6669"",""緯穎"",2294,4.79],[""3017"",""奇鋐"",4813,4.65],[""6223"",""旺矽"",2169,4.64],[""3665"",""貿聯-KY"",4704,4.4],[""8046"",""南電"",12658,4.17],[""3037"",""欣興"",10822,3.61],[""2368"",""金像電"",7018,3.54],[""5274"",""信驊"",483,3.22],[""3711"",""日月光投控"",14998,3.07],[""3653"",""健策"",2267,2.99],[""2327"",""國巨*"",18313,2.88],[""6274"",""台燿"",4151,2.25],[""2303"",""聯電"",46374,1.71],[""6515"",""穎崴"",442,1.63],[""3443"",""創意"",764,1.52],[""2449"",""京元電子"",12919,1.47],[""6510"",""精測"",930,1.31],[""6805"",""富世達"",1761,1.21],[""8210"",""勤誠"",1967,1.12],[""3264"",""欣銓"",9030,0.78],[""6187"",""萬潤"",1224,0.56],[""2404"",""漢唐"",1394,0.53],[""2357"",""華碩"",1996,0.5],[""5439"",""高技"",3228,0.45],[""8996"",""高力"",1034,0.4],[""2313"",""華通"",4124,0.37],[""8150"",""南茂"",11334,0.36],[""8358"",""金居"",1980,0.34],[""4966"",""譜瑞-KY"",1036,0.31],[""1590"",""亞德客-KY"",530,0.29],[""3008"",""大立光"",159,0.17],[""2481"",""強茂"",3654,0.17],[""3661"",""世芯-KY"",89,0.16],[""6415"",""矽力*-KY"",940,0.16],[""6191"",""精成科"",3988,0.14],[""3036"",""文曄"",1200,0.13],[""3376"",""新日興"",1741,0.13],[""3217"",""優群"",874,0.06],[""2002"",""中鋼"",5163,0.04],[""1319"",""東陽"",511,0.02],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""2337"",""旺宏"",8,0],[""6147"",""頎邦"",1,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0]]"
2026-05-14 00:00:00,00981A,2026-05-14 17:53:41,"[[""2330"",""台積電"",11657,9.86],[""2383"",""台光電"",4723,8.66],[""2345"",""智邦"",6231,6.21],[""2454"",""聯發科"",4263,5.41],[""2308"",""台達電"",6572,5.28],[""6223"",""旺矽"",2169,5.08],[""3017"",""奇鋐"",4925,4.69],[""6669"",""緯穎"",2294,4.65],[""8046"",""南電"",12658,4],[""3665"",""貿聯-KY"",4704,3.94],[""2368"",""金像電"",7018,3.74],[""3037"",""欣興"",10822,3.55],[""5274"",""信驊"",483,3.21],[""2327"",""國巨*"",18313,3.15],[""3711"",""日月光投控"",14998,3.06],[""3653"",""健策"",2267,2.84],[""6274"",""台燿"",4151,2.24],[""2303"",""聯電"",46374,1.87],[""6515"",""穎崴"",442,1.74],[""6510"",""精測"",930,1.44],[""2449"",""京元電子"",12919,1.43],[""6805"",""富世達"",1761,1.17],[""3443"",""創意"",618,1.17],[""8210"",""勤誠"",1967,1.07],[""3264"",""欣銓"",9030,0.77],[""2404"",""漢唐"",1394,0.55],[""5439"",""高技"",3528,0.54],[""6187"",""萬潤"",1224,0.52],[""2357"",""華碩"",1996,0.51],[""8996"",""高力"",1034,0.41],[""3008"",""大立光"",329,0.38],[""2313"",""華通"",4124,0.38],[""8150"",""南茂"",11334,0.35],[""8358"",""金居"",1980,0.32],[""4966"",""譜瑞-KY"",1036,0.32],[""1590"",""亞德客-KY"",530,0.29],[""6278"",""台表科"",2500,0.21],[""6415"",""矽力*-KY"",940,0.18],[""3661"",""世芯-KY"",89,0.16],[""2481"",""強茂"",3654,0.16],[""6191"",""精成科"",3988,0.14],[""3376"",""新日興"",1741,0.13],[""3036"",""文曄"",1200,0.12],[""3217"",""優群"",874,0.06],[""2002"",""中鋼"",5163,0.04],[""1319"",""東陽"",511,0.02],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""2337"",""旺宏"",8,0],[""6147"",""頎邦"",1,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0]]"
2026-05-15 00:00:00,00981A,2026-05-15 17:28:34,"[[""2330"",""台積電"",11657,10.26],[""2383"",""台光電"",4723,8.47],[""2345"",""智邦"",6231,6.07],[""2454"",""聯發科"",4263,5.4],[""2308"",""台達電"",6572,5.3],[""6223"",""旺矽"",2169,4.97],[""3017"",""奇鋐"",4925,4.7],[""6669"",""緯穎"",2294,4.56],[""8046"",""南電"",12658,3.87],[""3665"",""貿聯-KY"",4704,3.83],[""2368"",""金像電"",7018,3.52],[""3037"",""欣興"",10822,3.45],[""2327"",""國巨*"",18313,3.24],[""5274"",""信驊"",483,3.23],[""3711"",""日月光投控"",14998,3.19],[""3653"",""健策"",2267,3.05],[""2303"",""聯電"",56167,2.4],[""6274"",""台燿"",4151,2.11],[""6515"",""穎崴"",442,1.68],[""2449"",""京元電子"",12919,1.5],[""6510"",""精測"",930,1.35],[""6805"",""富世達"",1761,1.19],[""8210"",""勤誠"",1967,1.08],[""3264"",""欣銓"",9030,0.79],[""6187"",""萬潤"",1224,0.54],[""5439"",""高技"",3528,0.54],[""2404"",""漢唐"",1394,0.54],[""3008"",""大立光"",329,0.44],[""2357"",""華碩"",1703,0.42],[""8996"",""高力"",1034,0.42],[""2313"",""華通"",4124,0.38],[""8150"",""南茂"",11334,0.36],[""4966"",""譜瑞-KY"",1036,0.32],[""8358"",""金居"",1980,0.3],[""1590"",""亞德客-KY"",530,0.3],[""6278"",""台表科"",2500,0.21],[""3443"",""創意"",107,0.2],[""6415"",""矽力*-KY"",940,0.17],[""2481"",""強茂"",3654,0.17],[""6191"",""精成科"",3988,0.14],[""3036"",""文曄"",1200,0.13],[""3376"",""新日興"",1741,0.13],[""3217"",""優群"",874,0.06],[""2002"",""中鋼"",5163,0.04],[""1319"",""東陽"",511,0.02],[""3661"",""世芯-KY"",1,0],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""6147"",""頎邦"",1,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0]]"
2026-05-18 00:00:00,00981A,2026-05-18 16:46:04,"[[""2330"",""台積電"",11657,10.2],[""2383"",""台光電"",4723,8.38],[""2345"",""智邦"",6231,6.07],[""2454"",""聯發科"",4263,5.66],[""6223"",""旺矽"",2169,5.2],[""2308"",""台達電"",6572,5.18],[""3017"",""奇鋐"",4925,4.63],[""6669"",""緯穎"",2294,4.56],[""8046"",""南電"",12658,3.91],[""3665"",""貿聯-KY"",4704,3.72],[""2327"",""國巨*"",18313,3.58],[""3037"",""欣興"",10822,3.45],[""2368"",""金像電"",7018,3.43],[""5274"",""信驊"",483,3.05],[""3711"",""日月光投控"",14998,2.99],[""3653"",""健策"",2267,2.89],[""2303"",""聯電"",63190,2.74],[""6274"",""台燿"",4151,2.04],[""6515"",""穎崴"",442,1.77],[""2449"",""京元電子"",12919,1.49],[""6510"",""精測"",930,1.35],[""6805"",""富世達"",1761,1.19],[""8210"",""勤誠"",1967,1.06],[""3264"",""欣銓"",9030,0.81],[""2404"",""漢唐"",1394,0.55],[""6187"",""萬潤"",1224,0.54],[""5439"",""高技"",3528,0.52],[""2357"",""華碩"",1703,0.42],[""8996"",""高力"",1034,0.42],[""3008"",""大立光"",329,0.42],[""2313"",""華通"",4124,0.42],[""8150"",""南茂"",11334,0.36],[""8358"",""金居"",1980,0.33],[""6278"",""台表科"",3734,0.31],[""4966"",""譜瑞-KY"",1036,0.31],[""1590"",""亞德客-KY"",530,0.3],[""6415"",""矽力*-KY"",1038,0.21],[""3443"",""創意"",107,0.2],[""2481"",""強茂"",3654,0.18],[""6191"",""精成科"",3988,0.14],[""3376"",""新日興"",1741,0.14],[""3036"",""文曄"",1200,0.12],[""3217"",""優群"",874,0.06],[""2002"",""中鋼"",5163,0.04],[""1319"",""東陽"",511,0.02],[""3661"",""世芯-KY"",1,0],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""6147"",""頎邦"",1,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0]]"
2026-05-19 00:00:00,00981A,2026-05-19 16:43:22,"[[""2330"",""台積電"",11657,10.28],[""2383"",""台光電"",4723,8.57],[""2345"",""智邦"",6231,5.96],[""2454"",""聯發科"",4263,5.38],[""2308"",""台達電"",6572,5.04],[""6223"",""旺矽"",2169,4.97],[""3017"",""奇鋐"",4925,4.71],[""6669"",""緯穎"",2294,4.49],[""8046"",""南電"",12658,4.04],[""3665"",""貿聯-KY"",4704,3.75],[""2327"",""國巨*"",18313,3.64],[""2368"",""金像電"",7018,3.61],[""3037"",""欣興"",10822,3.54],[""2303"",""聯電"",66190,2.99],[""3711"",""日月光投控"",14998,2.83],[""3653"",""健策"",2267,2.8],[""5274"",""信驊"",422,2.69],[""6274"",""台燿"",4151,2.03],[""6515"",""穎崴"",442,1.68],[""2449"",""京元電子"",12919,1.49],[""6510"",""精測"",930,1.29],[""6805"",""富世達"",1761,1.25],[""8210"",""勤誠"",1967,1.04],[""3264"",""欣銓"",7772,0.67],[""2404"",""漢唐"",1394,0.57],[""6187"",""萬潤"",1224,0.55],[""5439"",""高技"",3528,0.54],[""3008"",""大立光"",329,0.44],[""8996"",""高力"",1034,0.43],[""2357"",""華碩"",1622,0.42],[""2313"",""華通"",4124,0.42],[""8150"",""南茂"",11334,0.35],[""8358"",""金居"",1980,0.34],[""6278"",""台表科"",3734,0.32],[""1590"",""亞德客-KY"",530,0.3],[""4966"",""譜瑞-KY"",1036,0.3],[""3533"",""嘉澤"",260,0.24],[""6415"",""矽力*-KY"",1038,0.2],[""2481"",""強茂"",3654,0.2],[""3443"",""創意"",96,0.17],[""6191"",""精成科"",3988,0.15],[""3376"",""新日興"",1741,0.14],[""3036"",""文曄"",1200,0.13],[""3217"",""優群"",874,0.07],[""2002"",""中鋼"",5163,0.04],[""1319"",""東陽"",511,0.02],[""3661"",""世芯-KY"",1,0],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""6147"",""頎邦"",1,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0]]"
2026-05-20 00:00:00,00981A,2026-05-20 16:45:27,"[[""2330"",""台積電"",11657,10.28],[""2383"",""台光電"",4723,8.38],[""2345"",""智邦"",6231,5.92],[""2454"",""聯發科"",4263,5.56],[""2308"",""台達電"",6572,5.08],[""6223"",""旺矽"",2169,4.97],[""3017"",""奇鋐"",4925,4.65],[""6669"",""緯穎"",2294,4.55],[""8046"",""南電"",12658,4.23],[""2327"",""國巨*"",18313,3.84],[""3665"",""貿聯-KY"",4704,3.73],[""3037"",""欣興"",10822,3.59],[""2368"",""金像電"",7018,3.5],[""2303"",""聯電"",66190,2.89],[""3711"",""日月光投控"",14998,2.88],[""3653"",""健策"",2267,2.77],[""5274"",""信驊"",422,2.65],[""6274"",""台燿"",4151,2.02],[""6515"",""穎崴"",442,1.62],[""2449"",""京元電子"",12919,1.45],[""6510"",""精測"",930,1.27],[""6805"",""富世達"",1761,1.22],[""8210"",""勤誠"",1967,1.02],[""3533"",""嘉澤"",624,0.59],[""2404"",""漢唐"",1394,0.58],[""6187"",""萬潤"",1224,0.54],[""3264"",""欣銓"",6217,0.52],[""5439"",""高技"",3528,0.52],[""2357"",""華碩"",1622,0.42],[""3008"",""大立光"",329,0.42],[""2313"",""華通"",4124,0.42],[""8996"",""高力"",1034,0.41],[""8358"",""金居"",1980,0.37],[""8150"",""南茂"",11334,0.34],[""4966"",""譜瑞-KY"",1036,0.32],[""6278"",""台表科"",3734,0.31],[""1590"",""亞德客-KY"",530,0.3],[""6147"",""頎邦"",3201,0.28],[""6415"",""矽力*-KY"",1038,0.21],[""3443"",""創意"",96,0.18],[""6191"",""精成科"",3988,0.15],[""3036"",""文曄"",1200,0.14],[""3376"",""新日興"",1741,0.14],[""2481"",""強茂"",2056,0.11],[""3217"",""優群"",874,0.07],[""2002"",""中鋼"",5163,0.04],[""1319"",""東陽"",511,0.02],[""3661"",""世芯-KY"",1,0],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0]]"
2026-05-21 00:00:00,00981A,2026-05-21 18:42:31,"[[""2330"",""台積電"",11657,9.93],[""2383"",""台光電"",4723,8.46],[""2345"",""智邦"",6231,5.9],[""2454"",""聯發科"",4263,5.78],[""2308"",""台達電"",6572,5.09],[""6669"",""緯穎"",2344,4.78],[""3017"",""奇鋐"",4925,4.69],[""6223"",""旺矽"",2169,4.68],[""8046"",""南電"",12658,4.21],[""2327"",""國巨*"",18313,4],[""3665"",""貿聯-KY"",4704,3.87],[""3037"",""欣興"",10822,3.74],[""2368"",""金像電"",7018,3.44],[""2303"",""聯電"",66190,2.93],[""3711"",""日月光投控"",14998,2.92],[""3653"",""健策"",2267,2.88],[""5274"",""信驊"",422,2.65],[""6274"",""台燿"",4151,2.1],[""6515"",""穎崴"",442,1.6],[""2449"",""京元電子"",12919,1.41],[""6805"",""富世達"",1761,1.22],[""6510"",""精測"",930,1.19],[""8210"",""勤誠"",1967,1],[""3533"",""嘉澤"",772,0.74],[""2404"",""漢唐"",1394,0.59],[""3264"",""欣銓"",6217,0.52],[""6187"",""萬潤"",1224,0.51],[""5439"",""高技"",3528,0.51],[""3008"",""大立光"",329,0.43],[""8996"",""高力"",1034,0.42],[""2313"",""華通"",4124,0.41],[""8358"",""金居"",1980,0.38],[""8150"",""南茂"",11334,0.33],[""6278"",""台表科"",3734,0.32],[""4966"",""譜瑞-KY"",1036,0.31],[""1590"",""亞德客-KY"",530,0.29],[""6147"",""頎邦"",3201,0.27],[""6415"",""矽力*-KY"",1038,0.22],[""3443"",""創意"",96,0.19],[""6191"",""精成科"",3988,0.15],[""3376"",""新日興"",1741,0.14],[""3036"",""文曄"",1200,0.13],[""2481"",""強茂"",2056,0.1],[""2357"",""華碩"",273,0.07],[""3217"",""優群"",874,0.07],[""6271"",""同欣電"",686,0.05],[""2002"",""中鋼"",5163,0.04],[""1319"",""東陽"",511,0.02],[""3661"",""世芯-KY"",1,0],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0]]"
2026-05-22 00:00:00,00981A,2026-05-22 16:35:41,"[[""2330"",""台積電"",11657,9.66],[""2383"",""台光電"",4723,8.69],[""2454"",""聯發科"",4263,6.05],[""2345"",""智邦"",6231,5.66],[""2308"",""台達電"",6572,5.06],[""6223"",""旺矽"",2169,4.81],[""6669"",""緯穎"",2344,4.76],[""3017"",""奇鋐"",4925,4.61],[""8046"",""南電"",12658,4.35],[""2327"",""國巨*"",18313,4.23],[""3037"",""欣興"",10822,3.86],[""3665"",""貿聯-KY"",4704,3.85],[""2368"",""金像電"",7018,3.43],[""3711"",""日月光投控"",14998,3.09],[""3653"",""健策"",2267,3.05],[""2303"",""聯電"",66190,2.77],[""5274"",""信驊"",422,2.76],[""6274"",""台燿"",4151,2.22],[""6515"",""穎崴"",442,1.41],[""2449"",""京元電子"",12919,1.41],[""6805"",""富世達"",1761,1.16],[""6510"",""精測"",930,1.16],[""8210"",""勤誠"",1967,0.97],[""3533"",""嘉澤"",772,0.73],[""2404"",""漢唐"",1394,0.59],[""3264"",""欣銓"",6217,0.51],[""6187"",""萬潤"",1224,0.51],[""5439"",""高技"",3528,0.5],[""8996"",""高力"",1034,0.44],[""3008"",""大立光"",329,0.43],[""2313"",""華通"",4124,0.42],[""8358"",""金居"",1980,0.38],[""6278"",""台表科"",3734,0.34],[""8150"",""南茂"",11334,0.33],[""4966"",""譜瑞-KY"",1036,0.3],[""1590"",""亞德客-KY"",530,0.27],[""6147"",""頎邦"",3201,0.25],[""6415"",""矽力*-KY"",1038,0.21],[""3443"",""創意"",96,0.18],[""6191"",""精成科"",3988,0.14],[""3036"",""文曄"",1200,0.13],[""3376"",""新日興"",1741,0.13],[""2481"",""強茂"",2056,0.1],[""2357"",""華碩"",273,0.07],[""3217"",""優群"",874,0.07],[""6271"",""同欣電"",686,0.06],[""2002"",""中鋼"",5163,0.03],[""1319"",""東陽"",511,0.02],[""3661"",""世芯-KY"",1,0],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0]]"
2026-05-25 00:00:00,00981A,2026-05-25 16:51:15,"[[""2330"",""台積電"",11657,9.44],[""2383"",""台光電"",4723,9.12],[""2454"",""聯發科"",4263,6.35],[""2345"",""智邦"",6231,5.55],[""2308"",""台達電"",6572,5.28],[""6223"",""旺矽"",2169,4.72],[""6669"",""緯穎"",2344,4.61],[""3017"",""奇鋐"",5041,4.55],[""2327"",""國巨*"",18313,4.44],[""3665"",""貿聯-KY"",4704,3.93],[""2368"",""金像電"",7669,3.83],[""3037"",""欣興"",10822,3.76],[""8046"",""南電"",11398,3.53],[""3711"",""日月光投控"",14998,3.25],[""3653"",""健策"",2267,3],[""2303"",""聯電"",66190,2.9],[""5274"",""信驊"",422,2.62],[""6274"",""台燿"",4151,2.33],[""2449"",""京元電子"",12919,1.44],[""6515"",""穎崴"",442,1.37],[""6510"",""精測"",930,1.13],[""6805"",""富世達"",1761,1.08],[""8210"",""勤誠"",1967,0.99],[""2404"",""漢唐"",1715,0.75],[""3533"",""嘉澤"",772,0.7],[""6187"",""萬潤"",1224,0.52],[""3264"",""欣銓"",6217,0.49],[""5439"",""高技"",3528,0.48],[""3008"",""大立光"",329,0.44],[""2313"",""華通"",4124,0.43],[""8996"",""高力"",1034,0.41],[""8358"",""金居"",1980,0.38],[""8150"",""南茂"",11334,0.35],[""6278"",""台表科"",3734,0.31],[""4966"",""譜瑞-KY"",1036,0.3],[""1590"",""亞德客-KY"",530,0.27],[""6147"",""頎邦"",3201,0.27],[""6415"",""矽力*-KY"",1038,0.23],[""3443"",""創意"",96,0.18],[""6191"",""精成科"",3988,0.14],[""3376"",""新日興"",1741,0.13],[""2481"",""強茂"",2056,0.1],[""2357"",""華碩"",273,0.07],[""6271"",""同欣電"",686,0.06],[""2002"",""中鋼"",5163,0.04],[""3217"",""優群"",382,0.03],[""1319"",""東陽"",511,0.01],[""3661"",""世芯-KY"",1,0],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0]]"
2026-05-26 00:00:00,00981A,2026-05-26 17:00:39,"[[""2330"",""台積電"",11657,9.24],[""2383"",""台光電"",4723,8.72],[""2454"",""聯發科"",4263,6.35],[""2345"",""智邦"",6231,5.7],[""2308"",""台達電"",6572,5.39],[""3017"",""奇鋐"",5141,4.89],[""6223"",""旺矽"",2169,4.73],[""3037"",""欣興"",12076,4.57],[""6669"",""緯穎"",2344,4.32],[""2327"",""國巨*"",18313,4.23],[""2368"",""金像電"",7669,3.87],[""3665"",""貿聯-KY"",4704,3.72],[""8046"",""南電"",11398,3.67],[""3711"",""日月光投控"",15640,3.34],[""2303"",""聯電"",66190,3.02],[""3653"",""健策"",2267,2.9],[""5274"",""信驊"",422,2.54],[""6274"",""台燿"",4151,2.29],[""2449"",""京元電子"",12919,1.53],[""6515"",""穎崴"",442,1.37],[""6510"",""精測"",930,1.11],[""6805"",""富世達"",1761,1.1],[""8210"",""勤誠"",2167,1.09],[""2404"",""漢唐"",1715,0.76],[""3533"",""嘉澤"",772,0.71],[""3264"",""欣銓"",6217,0.5],[""6187"",""萬潤"",1224,0.49],[""5439"",""高技"",3528,0.48],[""8996"",""高力"",1034,0.45],[""3008"",""大立光"",329,0.42],[""8358"",""金居"",1980,0.37],[""8150"",""南茂"",11334,0.34],[""6278"",""台表科"",3734,0.32],[""6147"",""頎邦"",3201,0.29],[""4966"",""譜瑞-KY"",1036,0.29],[""1590"",""亞德客-KY"",530,0.27],[""6415"",""矽力*-KY"",1038,0.23],[""3443"",""創意"",96,0.18],[""2313"",""華通"",1649,0.16],[""6191"",""精成科"",3988,0.13],[""3376"",""新日興"",1741,0.13],[""2481"",""強茂"",2056,0.11],[""6271"",""同欣電"",686,0.06],[""2002"",""中鋼"",5163,0.04],[""1319"",""東陽"",511,0.01],[""2357"",""華碩"",1,0],[""3661"",""世芯-KY"",1,0],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0]]"
2026-05-27 00:00:00,00981A,2026-05-27 16:45:34,"[[""2330"",""台積電"",11657,9.23],[""2383"",""台光電"",4723,8.63],[""2454"",""聯發科"",4263,6.81],[""2308"",""台達電"",6572,5.7],[""2345"",""智邦"",6231,5.62],[""3017"",""奇鋐"",5141,4.78],[""6223"",""旺矽"",2169,4.77],[""3037"",""欣興"",12466,4.64],[""2327"",""國巨*"",18313,4.42],[""6669"",""緯穎"",2344,4.1],[""2368"",""金像電"",7769,3.68],[""3711"",""日月光投控"",16640,3.68],[""8046"",""南電"",11398,3.55],[""2303"",""聯電"",71190,3.52],[""3665"",""貿聯-KY"",4704,3.43],[""3653"",""健策"",2267,2.86],[""5274"",""信驊"",422,2.65],[""6274"",""台燿"",4151,2.33],[""6515"",""穎崴"",442,1.49],[""6805"",""富世達"",1761,1.05],[""8210"",""勤誠"",2167,1.04],[""6510"",""精測"",930,1.02],[""2449"",""京元電子"",8268,0.9],[""3533"",""嘉澤"",852,0.77],[""2404"",""漢唐"",1715,0.73],[""6187"",""萬潤"",1334,0.52],[""3264"",""欣銓"",6217,0.49],[""5439"",""高技"",3528,0.47],[""8996"",""高力"",1034,0.43],[""3008"",""大立光"",329,0.4],[""8358"",""金居"",1980,0.38],[""8150"",""南茂"",11635,0.38],[""4966"",""譜瑞-KY"",1036,0.31],[""6278"",""台表科"",3734,0.3],[""6147"",""頎邦"",3201,0.29],[""1590"",""亞德客-KY"",530,0.26],[""6415"",""矽力*-KY"",1038,0.24],[""3443"",""創意"",96,0.17],[""6191"",""精成科"",3988,0.13],[""3376"",""新日興"",1741,0.13],[""6271"",""同欣電"",686,0.06],[""2002"",""中鋼"",5163,0.03],[""2313"",""華通"",329,0.03],[""1319"",""東陽"",511,0.01],[""2357"",""華碩"",1,0],[""3661"",""世芯-KY"",1,0],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0],[""2481"",""強茂"",5,0]]"
2026-05-28 00:00:00,00981A,2026-05-28 17:05:50,"[[""2330"",""台積電"",11960,9.75],[""2383"",""台光電"",4723,8.48],[""2454"",""聯發科"",4263,6.68],[""2308"",""台達電"",6572,5.58],[""2345"",""智邦"",6231,5.39],[""2327"",""國巨*"",18313,4.83],[""3017"",""奇鋐"",5141,4.71],[""6223"",""旺矽"",2169,4.56],[""3037"",""欣興"",12466,4.54],[""6669"",""緯穎"",2344,4.12],[""3711"",""日月光投控"",17948,4],[""2368"",""金像電"",7769,3.6],[""2303"",""聯電"",71190,3.59],[""3665"",""貿聯-KY"",4704,3.53],[""8046"",""南電"",11398,3.44],[""3653"",""健策"",2267,2.82],[""5274"",""信驊"",422,2.67],[""6274"",""台燿"",4151,2.27],[""6515"",""穎崴"",442,1.43],[""6805"",""富世達"",1761,1.1],[""6510"",""精測"",930,1.08],[""8210"",""勤誠"",2167,1.02],[""2449"",""京元電子"",8268,0.94],[""3533"",""嘉澤"",852,0.75],[""2404"",""漢唐"",1715,0.71],[""6187"",""萬潤"",1334,0.59],[""3264"",""欣銓"",6217,0.52],[""5439"",""高技"",3528,0.46],[""6147"",""頎邦"",4631,0.46],[""8150"",""南茂"",11635,0.43],[""8996"",""高力"",1034,0.4],[""3008"",""大立光"",329,0.4],[""8358"",""金居"",1980,0.39],[""4966"",""譜瑞-KY"",1036,0.31],[""6278"",""台表科"",3734,0.3],[""1590"",""亞德客-KY"",530,0.26],[""3443"",""創意"",96,0.16],[""6191"",""精成科"",3988,0.14],[""3376"",""新日興"",1741,0.13],[""6271"",""同欣電"",686,0.06],[""2002"",""中鋼"",5163,0.03],[""2313"",""華通"",329,0.03],[""1319"",""東陽"",511,0.02],[""2357"",""華碩"",1,0],[""3661"",""世芯-KY"",1,0],[""1815"",""富喬"",107,0],[""2439"",""美律"",18,0],[""2317"",""鴻海"",1,0],[""5347"",""世界"",1,0],[""2481"",""強茂"",5,0]]"
