資料日期,多單口數,空單口數,淨未平倉口數
2026-08-03 00:00:00,9876,99914,-90038
2026-08-04 00:00:00,8626,96484,-87858
2026-08-05 00:00:00,9180,96379,-87199
2026-08-06 00:00:00,8953,98336,-89383
2026-08-07 00:00:00,8321,96232,-87911
2026-08-10 00:00:00,9346,98547,-89201
2026-08-11 00:00:00,9385,98309,-88924
2026-08-12 00:00:00,10937,97570,-86633
2026-08-13 00:00:00,12073,98322,-86249
2026-08-14 00:00:00,12934,98113,-85179
2026-08-17 00:00:00,14587,98061,-83474
2026-08-18 00:00:00,16996,100074,-83078
2026-08-19 00:00:00,6692,88193,-81501
2026-08-20 00:00:00,6959,89382,-82423
2026-08-21 00:00:00,6735,89329,-82594
2026-08-24 00:00:00,6842,89371,-82529
2026-08-25 00:00:00,5030,90410,-85380
2026-08-26 00:00:00,8657,92311,-83654
2026-08-27 00:00:00,6963,91799,-84836
2026-08-28 00:00:00,8732,92387,-83655
2026-08-31 00:00:00,8105,91075,-82970
